,弹幕,类别
749,毕业快乐,高兴
750,毕业快乐,高兴
751,毕业快乐,高兴
752,下面那个小号字体的，别以为我没看见你说交大牛逼,愤怒
753,毕业快乐,高兴
754,毕业快乐,高兴
755,哈哈哈哈哈哈哈哈哈哈,高兴
756,毕业快乐！,高兴
757,哈哈哈哈哈哈哈哈哈,高兴
758,毕业快乐,高兴
759,毕业快乐！,高兴
760,毕业快乐,高兴
761,毕业快乐！,高兴
762,祝所有21届的毕业生都前程似锦！！！,高兴
763,B战二哥,高兴
764,祝茄茄和我都毕业快乐！！！！！,高兴
765,毕业快乐,高兴
766,cnbolg不配了呜呜呜,难过
767,又？,惊讶
768,给我拿来！,高兴
769,毕业快乐,高兴
770,毕业快乐,高兴
771,毕业快乐！！！,高兴
772,毕业快乐,高兴
773,毕业快乐,高兴
774,毕业快乐,高兴
775,第365个视频耶,高兴
776,毕业快乐,高兴
777,毕业快乐,高兴
778,毕业快乐,高兴
779,毕业快乐！,高兴
780,毕业快乐！,高兴
781,毕业快乐！,高兴
782,毕业快乐,高兴
783,毕业快乐,高兴
784,毕业快乐,高兴
785,毕业快乐！,高兴
786,啊啊啊毕业快乐切切,高兴
787,《面向CSDN编程》,高兴
788,毕业快乐,高兴
789,毕业快乐,高兴
790,哈哈哈哈哈哈哈哈,高兴
791,毕业快乐！,高兴
792,毕业快乐呀,高兴
793,毕业快乐,高兴
794,毕业快乐!,高兴
795,毕业快乐,高兴
796,毕业快乐,高兴
797,毕业快乐!,高兴
798,毕业快乐！！,高兴
799,毕业快乐,高兴
800,毕业快乐！,高兴
801,毕业快乐,高兴
802,毕业快乐,高兴
803,毕业快乐！,高兴
804,毕业快乐,高兴
805,毕业快乐,高兴
806,哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
807,毕业快乐呀，,高兴
808,哈哈哈哈哈哈哈哈哈哈哈,高兴
809,哈哈哈哈哈哈哈哈哈哈哈,高兴
810,毕业快乐！,高兴
811,读博士了？,难过
812,毕业快乐,高兴
813,你的眼妆真美,高兴
814,居然带了妆哈哈哈哈哈哈哈哈,高兴
815,毕业快乐,高兴
816,《国王的演讲》,高兴
817,毕业快乐,高兴
818,他在发光,高兴
819,毕业快乐,高兴
820,草，这里有我以为番茄穿的露背装（ ）,惊讶
821,毕业快乐,高兴
822,毕业快乐,高兴
823,每次去复旦我爸妈都好怀念研究生的时光,难过
824,还有五级美颜磨皮（狗头）,高兴
825,毕业快乐！,高兴
826,毕业快乐！,高兴
827,毕业快乐,高兴
828,毕业快乐！,高兴
829,毕业快乐！,高兴
830,毕业快乐,高兴
831,哈哈哈,高兴
832,毕业快乐,高兴
833,毕业快乐！,高兴
834,毕业快乐！！,高兴
835,毕业快乐！！,高兴
836,毕业快乐～,高兴
837,毕业快乐,高兴
838,毕业快乐,高兴
839,？？,惊讶
840,毕业快乐！,高兴
841,阿巴阿巴,惊讶
842,毕业快乐！,高兴
843,毕业快乐茄哥,高兴
844,毕业快乐,高兴
845,我也刚好毕业啦,高兴
846,b站2哥现在,愤怒
847,毕业快乐！,高兴
848,b站2哥了,愤怒
849,毕业快乐！,高兴
850,请收下我的膝盖,高兴
851,毕业快乐!,高兴
852,毕业快乐,高兴
853,前程似锦,高兴
854,毕业快乐,高兴
855,毕业快乐！,高兴
856,毕业快乐,高兴
857,毕业快乐,高兴
858,毕业快乐,高兴
859,毕业快乐,高兴
860,看到光华楼，看到我旦的人（qi）才（pa），果断弹幕支持！,高兴
861,毕业快乐,高兴
862,毕业快乐,高兴
863,前程似锦,高兴
864,毕业快乐,高兴
865,毕业快乐,高兴
866,二哥好！,高兴
867,毕业快乐!!!!!!!!!,高兴
868,二哥好！,高兴
869,毕业快乐,高兴
870,毕业快乐,高兴
871,毕业快乐,高兴
872,毕业快乐,高兴
873,毕业快乐,高兴
874,恭喜你毕业呀！,高兴
875,毕业快乐,高兴
876,毕业快乐,高兴
877,毕业快乐,高兴
878,？,惊讶
879,毕业快乐！,高兴
880,毕业快乐！,高兴
881,嘉伟牛逼,高兴
882,毕业快乐,高兴
883,毕业快乐,高兴
884,毕业快乐,高兴
885,毕业快乐,高兴
886,毕业快乐,高兴
887,毕业快乐,高兴
888,毕业快乐,高兴
889,毕业快乐,高兴
890,毕业快乐,高兴
891,毕业快乐,高兴
892,毕业快乐！,高兴
893,毕业快乐,高兴
894,毕业快乐！,高兴
895,毕业快乐,高兴
896,前程似锦,高兴
897,毕业快乐！,高兴
898,毕业快乐~,高兴
899,迟到的毕业快乐！,高兴
900,毕业快乐,高兴
901,这么快???,惊讶
902,哇,惊讶
903,毕业快乐,高兴
904,毕业快乐,高兴
905,毕业快乐,高兴
906,哈哈哈哈哈哈哈哈,高兴
907,毕业快乐,高兴
908,毕业快乐,高兴
909,毕业快乐,高兴
910,毕业快乐,高兴
911,毕业快乐！,高兴
912,毕业快乐,高兴
913,CSDNyyds救命的神,高兴
914,毕业快乐,高兴
915,番茄毕业快乐！,高兴
916,毕业快乐,高兴
917,毕业快乐,高兴
918,夫子循循然善诱人,高兴
919,毕业快乐,高兴
920,毕业快乐,高兴
921,毕业快乐,高兴
922,毕业快乐！,高兴
923,天啊 突然一提学生时代我的心就一紧,难过
924,好,高兴
925,英特尔直呼内行,高兴
926,毕业快乐,高兴
927,毕业快乐,高兴
928,草 太真实了,高兴
929,毕业快乐！,高兴
930,毕业快乐,高兴
931,毕业快乐,高兴
932,社恐,惊讶
933,毕业快乐,高兴
934,毕业快乐！,高兴
935,毕业快乐,高兴
936,毕业快乐,高兴
937,毕业快乐！！！,高兴
938,泪目,难过
939,医学奇迹,高兴
940,毕业快乐！,高兴
941,说的对！鼓掌！,高兴
942,天美打钱！！！！！,愤怒
943,毕业快乐！,高兴
944,毕业快乐！,高兴
945,毕业快乐,高兴
946,毕业快乐,高兴
947,毕业快乐,高兴
948,毕业快乐！,高兴
949,毕业快乐,高兴
950,茄茄毕业快乐！！,高兴
951,毕业快乐,高兴
952,毕业快乐,高兴
953,毕业快乐,高兴
954,毕业快乐,高兴
955,毕业快乐！,高兴
956,毕业快乐,高兴
957,母哥！,惊讶
958,哈哈哈哈哈哈哈哈哈哈,高兴
959,毕业快乐！,高兴
960,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
961,精致的妆容,高兴
962,偷妈头,愤怒
963,。,惊讶
964,毕业快乐,高兴
965,毕业快乐,高兴
966,毕业快乐,高兴
967,毕业快乐,高兴
968,毕业快乐,高兴
969,老番茄，毕业快乐！！！,高兴
970,你就是齐木楠雄,高兴
971,老番茄，毕业快乐！,高兴
972,毕业快乐,高兴
973,母母好美!,高兴
974,毕业快乐,高兴
975,毕业快乐,高兴
976,毕业快乐,高兴
977,毕业快乐！,高兴
978,毕业快乐,高兴
979,毕业快乐,高兴
980,一哥易主时期前来考古,高兴
981,毕业快乐,高兴
982,毕业快乐！！！！,高兴
983,《能说话了》,高兴
984,茄毕业快乐！,高兴
985,我今年也毕业啦切切！以后是高中生啦！,高兴
986,毕业快乐哈,高兴
987,毕业快乐！！,高兴
988,毕业快乐,高兴
989,你们却给了我整个夏天,难过
990,说得好,高兴
991,毕业快乐,高兴
992,恭喜,高兴
993,？,惊讶
994,毕业快乐！,高兴
995,毕业快乐,高兴
996,哇后面那个小姐姐,惊讶
997,毕业快乐,高兴
998,哈哈哈哈,高兴
999,毕业快乐,高兴
1000,红红火火恍恍惚惚,高兴
1001,毕业快乐鸭茄茄！！,高兴
1002,刺激,惊讶
1003,毕业快乐！！！！前程似锦,高兴
1004,死神没干赢张三啊，恭喜b站二哥,高兴
1005,毕业快乐，复旦NB,高兴
1006,毕业快乐,高兴
1007,毕业快乐！！！,高兴
1008,茄茄毕业快乐！！,高兴
1009,毕业快乐,高兴
1010,梅开二度,高兴
1011,毕业快乐,高兴
1012,毕业快乐,高兴
1013,恭喜毕业！！！,高兴
1014,我  我笑吐了,高兴
1015,毕业快乐,高兴
1016,毕业快乐,高兴
1017,毕业快乐！,高兴
1018,毕业快乐,高兴
1019,玉犬!,高兴
1020,伏黑惠手势哈哈哈,高兴
1021,西南大学！,高兴
1022,毕业快乐！！！！！！！！！！！,高兴
1023,毕业快乐,高兴
1024,毕业快乐,高兴
1025,毕业快乐！,高兴
1026,毕业快乐,高兴
1027,前程似锦！,高兴
1028,毕业快乐,高兴
1029,毕业快乐,高兴
1030,毕业快乐！！！,高兴
1031,毕业快乐！！,高兴
1032,不读博了吗,愤怒
1033,毕业快乐,高兴
1034,毕业快乐,高兴
1035,有点帅woc,高兴
1036,毕业快乐,高兴
1037,好帅啊,高兴
1038,毕业快乐！,高兴
1039,毕业快乐！,高兴
1040,好帅,高兴
1041,《从入门到入土，一条龙服务》,高兴
1042,该死，太真实了,惊讶
1043,毕业快乐,高兴
1044,毕业快乐!,高兴
1045,毕业快乐！！！,高兴
1046,要不再读个博（doge）,愤怒
1047,毕业快乐！！！,高兴
1048,毕业快乐,高兴
1049,毕业快乐！！,高兴
1050,毕业快乐,高兴
1051,毕业快乐！！,高兴
1052,说的好,高兴
1053,医学奇迹,高兴
1054,毕业快乐,高兴
1055,毕业快乐！,高兴
1056,毕业快乐！,高兴
1057,毕业快乐,高兴
1058,毕业快乐,高兴
1059,茄茄毕业快乐,高兴
1060,海米狂喜,高兴
1061,毕业快乐,高兴
1062,毕业快乐,高兴
1063,毕业快乐,高兴
1064,这次，没有句号！,难过
1065,毕业快乐,高兴
1066,毕业快乐！,高兴
1067,毕业快乐,高兴
1068,茄茄好可爱帅气呐~~~~,高兴
1069,毕业快乐！！,高兴
1070,毕业快乐～,高兴
1071,再见求新楼再见,难过
1072,毕业快乐,高兴
1073,毕业快乐！,高兴
1074,我也毕业了！！！！！！！！！！！！！！,高兴
1075,毕业快乐！祝我们前程似锦！,高兴
1076,毕业快乐,高兴
1077,毕业快乐,高兴
1078,毕业快乐,高兴
1079,嘿嘿,高兴
1080,泪目,难过
1081,前程似锦,高兴
1082,毕业快乐,高兴
1083,毕业快乐！,高兴
1084,满身大汉,难过
1085,毕业快乐,高兴
1086,毕业快乐,高兴
1087,毕业快乐,高兴
1088,毕业快乐,高兴
1089,毕业快乐,高兴
1090,毕业快乐,高兴
1091,毕业快乐,高兴
1092,毕业快乐！！,高兴
1093,毕业快乐！！,高兴
1094,注意细节：《他说话啦！》,高兴
1095,毕业快乐,高兴
1096,毕业快乐,高兴
1097,毕业快乐,高兴
1098,毕业快乐,高兴
1099,毕业快乐,高兴
1100,毕业快乐,高兴
1101,毕业快乐,高兴
1102,毕业快乐,高兴
1103,毕业快乐,高兴
1104,茄哥要永远好好的,高兴
1105,杰。。杰哥,高兴
1106,毕业快乐,高兴
1107,毕业快乐,高兴
1108,毕业快乐,高兴
1109,居然有人不带眼镜？,惊讶
1110,畢業快樂！,高兴
1111,毕业快乐,高兴
1112,毕业快乐,高兴
1113,毕业快乐,高兴
1114,毕业快乐,高兴
1115,毕业快乐,高兴
1116,毕业快乐！,高兴
1117,正片开始,高兴
1118,毕业快乐,高兴
1119,《满头学霸》,高兴
1120,毕业快乐,高兴
1121,毕业快乐,高兴
1122,毕业快乐,高兴
1123,毕业快乐,高兴
1124,毕业快乐,高兴
1125,明天我期末考试，大一结束,高兴
1126,毕业快乐,高兴
1127,毕业快乐！！,高兴
1128,来了,高兴
1129,毕业快乐,高兴
1130,毕业快乐,高兴
1131,毕业快乐宝,高兴
1132,科学奇迹,惊讶
1133,毕业快乐！！！,高兴
1134,真的假的，你不读博士吗？,愤怒
1135,毕业快乐,高兴
1136,毕业快乐！,高兴
1137,毕业快乐,高兴
1138,毕业快乐,高兴
1139,毕业快乐,高兴
1140,毕业快乐！！！,高兴
1141,茄茄毕业快乐,高兴
1142,毕业快乐,高兴
1143,毕业快乐,高兴
1144,毕业快乐,高兴
1145,似     曾     相     识,高兴
1146,《默 契》,高兴
1147,强人锁男,高兴
1148,毕业快乐,高兴
1149,毕业快乐,高兴
1150,毕业快乐,高兴
1151,毕业快乐！,高兴
1152,毕业快乐,高兴
1153,毕业快乐！！,高兴
1154,毕业快乐！复旦等我！,高兴
1155,毕业快乐！,高兴
1156,毕业快乐茄哥,高兴
1157,毕业快乐,高兴
1158,毕业快乐！,高兴
1159,毕业快乐,高兴
1160,毕业快乐,高兴
1161,HHHHHHH,高兴
1162,不但说话了还化妆了（doge,高兴
1163,毕业快乐！,高兴
1164,毕业快乐！！！！！！！,高兴
1165,毕业快乐！,高兴
1166,毕业快乐,高兴
1167,恭喜恭喜,高兴
1168,毕业快乐,高兴
1169,毕业快乐,高兴
1170,毕业快乐茄茄,高兴
1171,毕业快乐,高兴
1172,毕业快乐,高兴
1173,毕业快乐！,高兴
1174,毕业快乐！,高兴
1175,毕业快乐！,高兴
1176,B站二哥,高兴
1177,茄茄,高兴
1178,毕业快乐,高兴
1179,茄茄,高兴
1180,毕业快乐啊。,高兴
1181,毕业快乐！！,高兴
1182,毕业快乐！,高兴
1183,张东升？,愤怒
1184,毕业快乐茄茄,高兴
1185,再见 你好！！,难过
1186,毕业快乐,高兴
1187,毕业快乐,高兴
1188,啊啊啊啊啊,愤怒
1189,毕业快乐！！！,高兴
1190,zlz,高兴
1191,毕业快乐,高兴
1192,毕业快乐,高兴
1193,毕业同乐,高兴
1194,毕业快乐！,高兴
1195,毕业快乐,高兴
1196,这个背影帅哦,高兴
0,爱衣的颜值巅峰(泪目),高兴
1,触及我心里最柔软的,高兴
2,我的日本仙女啊！泪目,难过
3,面码！,难过
4,锰男落泪,难过
5,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
6,爱衣酱大胜利,高兴
7,找到你了呢，面码,高兴
9,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。,难过
10,未闻花名，但闻花香 再闻花时 泪已千行,难过
11,002就是户松遥配的音好感动 让我哭的两部动漫都有户松遥,高兴
12,真的太喜欢户松遥了,高兴
13,已知花意，未见其花，已见其花，未闻花名，再见其花，落泪千溟，未闻花名，但识花香，已知花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。我知花意，花不知我。爱其芬芳，闻其花名。回头忆我，我心故我。,难过
14,声音好好听啊,高兴
15,爱衣好好看,高兴
16,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
17,爱衣好美！,高兴
18,粉色空耳好评,高兴
19,泪目,难过
20,茅野愛衣!,高兴
21,戸松遥,高兴
22,awsl,高兴
23,找到你了,高兴
24,？,负样本
25,刚才听见很大一身盖亚怎么回事,愤怒
26,"旁边两个不算多好看,可是卻呈现了女孩子仪态(姿sugata)之美.",高兴
27,猛男落泪,难过
28,这部番不止爱情，充满年少气息的情愫,高兴
29,声音真的好听,高兴
30,泪目泪目,难过
31,全体起立5555,高兴
32,全体起立！！,高兴
33,泪目,难过
34,鼻子酸了酸了,难过
35,开口跪,高兴
36,2021来考古,高兴
37,要哭了,难过
38,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，,难过
39,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。,难过
40,沙织！,负样本
41,开口跪,高兴
42,我提起泪目,难过
43,面码！！,难过
44,已知花意，未闻其花，已闻其花，未知其名，再见其花，泪已满溟。,难过
45,全体起立,高兴
46,全体起立！,高兴
47,每天亿遍,高兴
48,感谢字幕君们,高兴
49,真的就是百听不厌,高兴
50,太感人了,难过
51,未闻花名，已闻其花，未知其名，再见其花，泪已千行,难过
52,百听不厌啊,高兴
53,全体起立,高兴
54,犬山鸽？,愤怒
55,啊阿啊阿啊阿中啊,高兴
56,每天亿变,高兴
57,已知花意  未见其花  已见其花  未闻花名,难过
58,未闻花名，我人生第一部让我哭的“动漫”,难过
59,~~~~~~~~~~~~,高兴
60,当曙光穿透你的身体，我愿说出这世上最长情的告白,高兴
61,未闻花名  但识花香  再见花时  泪已千行,难过
62,全体起立,高兴
63,已经21年了,难过
64,茅野爱衣怎么长得这么像李金铭,愤怒
65,全体起立,高兴
66,泪目,难过
67,三厨狂喜,高兴
68,全体起立,高兴
69,每天一遍,高兴
70,感动，小难受，治愈,高兴
71,一起哭,难过
72,2021年了,负样本
73,泪目,难过
74,全体起立,高兴
75,泪目,难过
76,未闻花名，但识花香，花再开时，泪已千行 ,高兴
77,西宫硝子！,高兴
78,好家伙,高兴
79,长筒靴！我超爱！,高兴
80,给老子哭,难过
81,爱衣颜值最高时候,高兴
82,我为什么会哭,难过
83,可爱,高兴
84,泪目,难过
85,好稳！,高兴
86,我们会继续实现那朵花的愿望,难过
87,谢谢,高兴
88,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
89,面码，我永远记得与你的相遇,高兴
90,与你在夏末的约定　将来的梦想,高兴
91,当曙光穿过你的身体  我愿对你说出世上最长情的告白,高兴
92,当曙光穿过你的身体  我愿对你说出世上最长情的告白,高兴
93,当曙光穿透你的身体之时 我愿说出这世上最长情的告白,高兴
94,突然鼻子一酸,难过
95,愣着干嘛！都给我哭！,难过
96,谢谢各位，不说了，我先哭了,难过
97,好漂亮呀,高兴
98,全体起立,高兴
99,泪目,难过
100,声音爱了爱了,高兴
101,泪目,难过
102,当曙光穿透你的身体之时，我愿说出这世间最长情的告白,高兴
103,面码，找到你了,高兴
104,当曙光穿过你的身体，我愿说出这世上最长情的告白。,高兴
105,当曙光穿过你的身体，我愿说出这世上最长情的告白。,高兴
106,当曙光穿过你的身体，我愿说出这世上最长情的告白。,高兴
107,沙织姐姐！,高兴
108,是戸松遥，不是户松遥,愤怒
109,早见沙织，茅野爱衣，戸松遥我都爱！,高兴
110,哭你们都得哭都给我哭,愤怒
111,泪目,难过
112,哭啊呜呜呜,难过
113,敬!逝去的童年,高兴
114,se no 面码，找到你了!,高兴
115,面码，找到你了,高兴
116,2021，十年了啊,难过
117,当曙光穿透你的身体时，我愿说出这世间最长情的告白,高兴
118,未闻花名，但知花香，再遇花时，泪已千溟,难过
119,未闻花名，但知花香，再遇花时，泪落千溟,难过
120,古川大佬啊啊啊,高兴
121,爱衣姐姐真好看啊,高兴
122,泣きそう,难过
123,爱衣跟 漫画里的小天使一样,高兴
124,脸胖胖的,高兴
125,笑起来跟小孩子一样,高兴
126,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
127,未闻花名，但识花香，已知花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行， 人犹在时，未闻花名，已知花名，人去花谢， 已知花意，未闻其花，以见其花，未闻花名。再见其花，泪落千冥,高兴
128,泪目,难过
129,爱衣这样子有点天然呆好可爱,高兴
130,泪目,难过
131,感谢黄色字幕君,高兴
132,当曙光穿过你身体，我愿说出最长情的告白,高兴
133,爱依酱大胜利,高兴
134,未闻花名，时也个识花香，已知花名，花已凋亡未闻花名，时也个识花香，学物说遇花时，泪已千出子人犹在时，未闻花名，已知花名，人去花谢已知花意，未见其花，学物说见其花，心莫走一么物茫,高兴
135,蝴蝶忍,高兴
136,666,高兴
137,猛男落泪,难过
138,好好哭,难过
139,哭了T﹏T,难过
140,看一遍哭一遍,难过
141,那个哈哈哈得破功了,高兴
142,我DNA动了我不听了,难过
143,全体起立,高兴
144,回忆,难过
145,啊啊啊啊啊啊啊啊啊啊啊泪目！,难过
146,听到这熟悉的前奏让我终于想起来了竟然是未闻花名，也是我的第二个看哭的动漫,难过
147,已知花意 未见其花 已见其花 未闻花名 再见其花 落泪千溟,难过
148,纱织姐姐的声音太好了,高兴
149,未闻花名，但知花香，再见花时，泪已满行,高兴
150,当曙光穿透你的身体时，我愿说出这世上最长情的告白,高兴
151,未闻花名，但识花香，再见花时，泪已千行,高兴
152,爱衣现在也好看！！！,高兴
153,爱衣酱！！！,高兴
154,国家队是无解的！,高兴
155,她们是翻唱,高兴
156,大天使,高兴
157,全体起立,高兴
158,为什么眼泪会滑落,难过
159,未闻花名,难过
160,仍未知道那天所看到的花的名字啊,难过
161,视频很高清,高兴
162,想起我的那个夏天,难过
163,当时看到时候真的哭死了,难过
164,爷青回,难过
165,爱了爱了,高兴
166,爱,高兴
167,搁着捧哏呢,愤怒
168,茅野爱衣我爱了,高兴
169,二次元包涵但不限于宅文化,愤怒
170,泪目,难过
171,泪目,难过
172,旱见纱织后面越变越好看了,高兴
173,户松遥这个时候不是颜值巅峰,愤怒
174,尾音太好听了,高兴
175,爱衣这里闭眼倒一下美哭了呜呜呜呜,高兴
176,这句我直接爱死爱衣了,高兴
177,我永远喜欢茅野爱衣,高兴
178,超可爱的爱衣啊！！！！,高兴
179,爱衣太美了,高兴
180,当曙光穿过你的身体，我愿说出这世界上最长情的告白,高兴
181,与你在夏末的约定　将来的梦想,高兴
182,当曙光穿透你的身体之时，我愿说出这世上最长情的告白,高兴
183,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。,难过
184,全体起立,高兴
185,快跑啊兄弟们！！！！,难过
186,哭了哭了,难过
187,全体起立,高兴
188,哭出来吧！,难过
189,爱衣爱衣！,高兴
190,awsl,高兴
191,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
192,唱的比原唱还好,高兴
193,起鸡皮疙瘩了,难过
194,我想知道她们手上带的那里有卖,惊讶
195,未闻花名，但识花香，花再开时，泪已千行 ,高兴
196,当曙光穿过你的身体，我愿说出最深情的告白,难过
197,哇,高兴
198,快乐的人,高兴
199,最右边的户松遥三个人里最高啊，腿最细啊,惊讶
200,哭了……,难过
201,前方高能,高兴
202,哭！都给爷哭！,难过
203,爱衣！,高兴
204,全体起立,高兴
205,肉松这身材,愤怒
206,得想办法娶了这个女人,难过
207,啊啊啊啊，让我死了吧,难过
208,已知花意，未闻其花，已闻其花，未知其名，再见其花，泪已满溟。,难过
209,已知花意，未闻其花，已闻其花，未知其名，再见其花，泪已满溟。,难过
210,未闻花名，但闻花香。再见花时，泪已千行。,高兴
211,泪目,难过
212,沙织赛高,高兴
213,沙织赛高,高兴
214,严重犯规,愤怒
215,三巨头，不懂别乱说,愤怒
216,君と夏の終わり 将来の夢 大きな希望 忘れない,难过
217,泪目！,难过
218,好棒呜呜呜,高兴
219,zone！,高兴
220,愣头青落泪,难过
221,面码，找到你了,高兴
222,其实有些人，你已经见过这辈子最后一面了，只是你还没发觉,难过
223,爱衣的声音以前好细好高,愤怒
224,泪目,难过
225,鼻子酸了,难过
226,爱衣太好看了吧,高兴
227,晩莹原型我感觉可能是爱衣，没有开玩笑,愤怒
228,已见花意，未见其花，已见其花，未闻花名！,难过
229,已知花意，未见其花，已见其花，未闻花名 ,难过
230,爱衣好小只,高兴
231,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
232,泪目,难过
233,这阵容无敌,高兴
234,全体起立!!,高兴
235,每天亿次,高兴
236,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,惊讶
237,泪目~~~~,难过
238,已知花意 未见其花 已见其花 未闻花名 再见其花 落泪千溟,难过
239,沙织姐姐,高兴
240,泪目,难过
241,还是很感动,高兴
242,纱织我爱你,高兴
243,？？,惊讶
244,连长恍恍惚惚哈哈哈,高兴
245,n刷。。。。。。。。。。太喜欢了！,难过
246,全体起立,高兴
247,呜呜呜呜呜呜呜哭死,难过
248,每天亿遍,高兴
249,当曙光穿透了你的身体，我愿说出这世间最深情的告白,高兴
250,未闻花名，但知花香，再遇花时，泪已千行！,高兴
251,DNA动了,高兴
252,全体起立,高兴
253,全体起立,高兴
254,开始哭,难过
255,开始哭了,难过
256,面码，找到你了,高兴
257,我一个没看过这部番的，听到歌都有点想哭的感觉,难过
258,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
259,当曙光穿透了你的身体，我愿说出这世间最深情的告白,高兴
260,全体起立,高兴
261,再来亿遍,高兴
262,再来一遍,高兴
263,再来一遍,高兴
264,不听了，再听下去真就哭了,难过
265,突然想哭,难过
266,未闻花名，但知花香，再遇花时，泪已千行！,难过
267,全体起立,高兴
268,有点难受,难过
269,都给爷哭,难过
270,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。​,难过
271,再来亿遍,愤怒
272,未闻花名，但是花香，再遇花时，泪以成行,高兴
273,这几个人又不是真的原唱,愤怒
274,这个挡着字幕的是真的烦,愤怒
275,有种淡淡便秘感,愤怒
276,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。,难过
277,已知花意，未见其花，已见其花，未闻花名，再见其花，泪落千溟，未闻花名，但识花香，已见花名，花已不在。未闻花名，但识花香，再遇花时，泪已千行。,难过
278,全体起立,高兴
279,每天n遍,高兴
280,好适合做毕业的bgm,高兴
281,突然哭出来,难过
282,剧情真的很棒，友情无价,高兴
283,我们仍知道那天所见花的名字,难过
284,好美,高兴
285,猛男落泪,难过
286,这才是猛男该听的歌,高兴
287,沙织姐姐赛高！,高兴
288,当曙光穿过你身体时，我愿说出这世界上最长情的告白当曙光穿过你身体时，我愿说出这世界上最长情的告白,高兴
289,当曙光穿过你身体时，我愿说出这世界上最长情的告白,高兴
290,1：55,高兴
291,这三个人现在也还很漂亮啊,高兴
292,肉松和沙织比较高,高兴
293,当你的身体被曙光穿透，我愿说出最长情的告白,高兴
294,当你的身体被曙光穿透，我愿说出最长情的告白,高兴
295,已知花意，未见其花，已见其花，未闻花名。再见其花，泪落千溟,难过
296,打破0弹幕,负样本
297,早见,高兴
298,以知花意，未闻花名，以闻其花，未知其名，再见其花，泪已满溟,难过
299,猛男落泪,难过
300,喜欢户松，适合做老婆,高兴
301,雪之下雪乃 霞之丘诗羽 亚丝娜,高兴
302,未闻花名,难过
303,泪目,难过
304,全体起立,高兴
305,找到你了，面码,高兴
306,找到你了，面码,高兴
307,感谢青春有你们,高兴
308,猛男落泪,难过
309,感谢野生字幕,高兴
310,已知花意  未见其花  已见其花 未闻花名,难过
311,未闻花名但识花香,高兴
312,看到终于不会哭了,高兴
313,我来过,负样本
314,直接泪目,难过
315,我在山间喊出少年的梦想，出走半生，回过头怀念的，是当时的一份赤忱,难过
316,泪目,难过
317,已经受不了了。。,难过
318,泪目,难过
319,给我哭,难过
320,满满的回忆,难过
321,漂亮的小姐姐！！！,高兴
322,未闻花名 但知花香 再遇花时，泪已千行,高兴
323,开口跪,高兴
324,爱衣大天使永远滴神,高兴
325,泪目,难过
326,全体人民起立 泪目,难过
327,雪之下雪乃 霞之丘诗羽 亚丝娜,高兴
328,泪目,难过
329,最后亿遍,高兴
330,泪目,难过
331,爱衣,高兴
332,爱衣酱好好看,高兴
333,泪目,难过
334,中右爱了，左边你们的,高兴
335,泪目,难过
